annotation_instance_id	annotator_id	error_tag_leaf	template_id	source	corrected	feedback_explanation	feedback_suggestion
batch_1_001	a_1	Causative	Causative_00	Sometimes, this can change a person, making that her or him have a new perception of the world.	Sometimes, this can change a person, making [NONE] her or him have a new perception of the world.	When using "make" to describe something causing another to do an action, the pattern "make + person/thing + verb (base form)" is used.	Remove "that" to make this follow the causative pattern.
batch_1_002	a_1	Expressions of Place	Expressions of Place_00	Except for [NONE] the big cities, public transport is not an easy way to get around the city. That means that in the future even more people will stop using it.	Except for in the big cities, public transport is not an easy way to get around the city. That means that in the future even more people will stop using it.	You need a prepositional phrase or adverb to express where something is true or where something happens.	Add "in" before "the big cities" to focus on how things are there.
batch_1_003	a_1	Infinitive	Infinitive_02	Second, for the indoor swimming pool, it generally appear wavy falling, from 2500 dollars in 2012 to 2000 dollars in 2014. We can infer, it will not rise sharply, and it is impossible for it to fall sharply.	Second, for the indoor swimming pool, it generally appears to be wavy falling, from 2500 dollars in 2012 to 2000 dollars in 2014. We can infer, it will not rise sharply, and it is impossible for it to fall sharply.	Words like "seem" and "appear" can not connect to an -ing verb directly.	Use the infinitive "to be" as a connector.
batch_1_005	a_1	Tense: Continuous Aspect	Tense: Continuous Aspect_02	We gathering around the table on this day and wait for the spring in the last moments of the year.	We gather around the table on this day and wait for the spring in the last moments of the year.	When describing something you usually do, use the simple present, not the present continuous.	Change "gathering" to the simple present form.
batch_1_007	a_2	Participle	Participle_00	The moral is about students don't be naïve and being careful of unscrupulous men that sell drugs.	The moral is about students not being naïve and being careful of unscrupulous men that sell drugs.	The verb should be changed to a participle to modify the noun "students."	Change "don't be" to its present participle form.
batch_1_009	a_1	Subject-Verb Agreement	Subject-Verb Agreement_00	I think one of my favorite sports of all is athletics. I love it because it is a sport where you prove yourself, you have to be better every day than you were yesterday. It force you to improve every time. Also, it is an exercise that helps your whole body, especially the legs, because it gives them great strength, but also your hands, because they have to be in constant movement, and all the body in general, because you run and your metabolism is accommodated and helps you to have coordination.	I think one of my favorite sports of all is athletics. I love it because it is a sport where you prove yourself, you have to be better every day than you were yesterday. It forces you to improve every time. Also, it is an exercise that helps your whole body, especially the legs, because it gives them great strength, but also your hands, because they have to be in constant movement, and all the body in general, because you run and your metabolism is accommodated and helps you to have coordination.	The subject, "it," is in the third person singular. The verb must be in a different form to match with it.	Change "force" to a form that goes with a third-person singular subject.
batch_1_010	a_1	Vocabulary Choice	Vocabulary Choice_02	I thought that writing an article on my favourite sport would be interesting for the readers. Above all, and making no differences of the sport you have chosen, it is paramount to do some sport, whatever sport you choose, such as spinning. That is my favourite sport.	I thought that writing an article on my favourite sport would be interesting for the readers. Above all, and regardless of the sport you have chosen, it is paramount to do some sport, whatever sport you choose, such as spinning. That is my favourite sport.	"Making no differences of" does not sound natural here.	Try using another term such as "regardless of."
batch_1_011	a_2	Modal	Modal_03	In addition, we could play outdoor games and they may do landscape painting.	In addition, we could play outdoor games and they could do landscape painting.	"May" might not be the best modal to use here. It is used for permission or possibility more than describing potential options.	Instead of "may," consider using "could" here.
batch_1_012	a_1	Tense: Tense Choice	Tense: Tense Choice_00	Sukh was so angry with him because he hurt her a lot. Sukh refused to give him her laptop and her brother start fighting with her again and he even slapped his sister.	Sukh was so angry with him because he hurt her a lot. Sukh refused to give him her laptop and her brother started fighting with her again and he even slapped his sister.	To talk about something that happened in the past, use the past tense of the verb.	Change "start" to the past tense.
batch_1_013	a_1	Subject-Verb Agreement	Subject-Verb Agreement_00	I miss you so much. How are your baby?	I miss you so much. How is your baby?	The subject, "your baby" is in the third person singular. The verb must be in a different form to match with it.	Change "are" to a form that goes with a third-person singular subject.
batch_1_014	a_2	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_01	In the past, people bought thing, and they didn't care how dangerous they were for the planet.	In the past, people bought things, and they didn't care how dangerous they were for the planet.	Use the plural form when referring to a general group. Also, be aware that plural subjects generally take actions upon plural objects.	Change the word "thing" to its plural form.
batch_1_015	a_1	Causative	Causative_00	Finally, the kind of life that we will see in fifty years from now will have a lot of stuff to help people to have a more comfortable, easier and faster way of life, but this will be only to make more money and consume more and more. Also, things will be faster of waste to make people to change their possessions more often and stimulate consumerism.	Finally, the kind of life that we will see in fifty years from now will have a lot of stuff to help people to have a more comfortable, easier and faster way of life, but this will be only to make more money and consume more and more. Also, things will be faster of waste to make people [NONE] change their possessions more often and stimulate consumerism.	When using "make" to describe something causing another to do an action, the pattern "make + person/thing + verb (base form)" is used.	Remove "to" to make this satisfy the causative pattern.
batch_1_016	a_1	General Collocations	General Collocations_00	Talking about your new job, I was searching for some vacancies. However, they required a full - time worker, so I am going to continue searching for some jobs of part - time.	Talking about your new job, I was searching for some vacancies. However, they required a full - time worker, so I am going to continue searching for some part - time jobs.	"Jobs of part time" does not sound natural.	It is better to say "part-time jobs."
batch_1_017	a_2	Pronoun Antecedent	Pronoun Antecedent_00	For example, now high - heeled shoes are very trendy but they cost a lot and most women don't look good in it.	For example, now high - heeled shoes are very trendy but they cost a lot and most women don't look good in them.	The pronoun "it" refers to "shoes," so it should be a plural pronoun.	Change "it" to be plural.
batch_1_018	a_1	Part-of-Speech Confusion	Part-of-Speech Confusion_01	They learn and understand very good English.	They learn and understand English very well.	"Good" is an adjective, but it seems to be modifying "understand." An adverb should be used instead.	Use "well" instead of "good" to describe how an action is done.
batch_1_019	a_1	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_00	. You can experience 19th century Korean imperial architecture and Korean traditional custom.	. You can experience 19th century Korean imperial architecture and Korean traditional customs.	"Custom" is singular here, but it is better to refer to more than one.	Change "custom" to be plural.
batch_1_020	a_2	Verb + Preposition + Argument	Verb + Preposition + Argument_01	So, I'm really thinking [NONE] leaving this sport.	So, I'm really thinking about leaving this sport.	When referring to the object of thought, the verb "thinking" requires a preposition to connect to it.	Add the word "about" or "of" after the word "thinking."
batch_1_021	a_1	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_00	There are a lot of clubs, pubs and bars, cafe, and karaoke, bars and it has more facilities which you will be able to enjoy.	There are a lot of clubs, pubs and bars, cafes, and karaoke, bars and it has more facilities which you will be able to enjoy.	"Cafe" is singular here, but you seem to be talking about more than one.	Change "cafe" to be plural.
batch_1_023	a_1	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_00	Ten year ago, the local governing body of the city decided to plant more tree and it asked advice from the citizens of the city about the proposal.	Ten year ago, the local governing body of the city decided to plant more trees and it asked advice from the citizens of the city about the proposal.	"Tree" is singular here, but you are talking about a situation with more than one.	Change "tree" to be plural.
batch_1_024	a_2	Verb Nominalization	Verb Nominalization_00	The most important step is inspect the notes to see which are good quality sheets and which are bad sheets.	The most important step is inspecting the notes to see which are good quality sheets and which are bad sheets.	"Inspect" is a verb, so it must be changed to a noun form to be used in this situation.	Change "inspect" to the gerund form (-ing).
batch_1_026	a_1	Possessive	Possessive_02	There are a lot of high - rise buildings and it causes flooding along the high - rise building 's section.	There are a lot of high - rise buildings and it causes flooding along the high - rise buildings ' section.	It seems this should be a plural possessive, but an apostrophe + s ending is only used for the singular of "building."	To make this a plural possessive, move the apostrophe to the end of the word, after the s.
batch_1_027	a_1	Subject-Verb Agreement	Subject-Verb Agreement_00	Taichung have plenty of trees in the park.	Taichung has plenty of trees in the park.	The subject, "Taichung" is in the third person singular. The verb must be in a different form to match with it.	Change "have" to a form that goes with a third-person singular subject.
batch_1_028	a_2	Vocabulary Choice	Vocabulary Choice_00	Since that time, we have been very linked until now.	Since that time, we have been very close until now.	"Linked" cannot be used for a bond between humans.	Use "close" instead of "linked."
batch_1_029	a_1	Tense: Perfect	Tense: Perfect_03	When Michael woke up that morning he smelled a strange smell in the air. He did not know what what the source of that strange smell was but, in his nose, he received a kind of sign something bad [NONE] happened.	When Michael woke up that morning he smelled a strange smell in the air. He did not know what what the source of that strange smell was but, in his nose, he received a kind of sign something bad had happened.	When we talk about two past events, we use "had" before the verb of the earlier event. This is called the past perfect tense.	Add "had" before "happened" to make it past perfect.
batch_1_030	a_1	Causative	Causative_02	I have other qualities like, cooking like a super chef or even better than that. I am the most organized person in this country, and I love to work with children because it is a way to teach everything you know to other people and help [NONE] to improve as a person.	I have other qualities like, cooking like a super chef or even better than that. I am the most organized person in this country, and I love to work with children because it is a way to teach everything you know to other people and help them to improve as a person.	When using "help" to describe helping another with an action, the pattern "help + person/thing + verb (base form)" is used.	Be sure to include the word for who or what is being helped.
batch_1_031	a_1	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_00	Nowadays, many accident happen when people are driving their cars.	Nowadays, many accidents happen when people are driving their cars.	"Accident" is singular here, but you seem to be talking about more than one.	Change "accident" to be plural.
batch_1_032	a_2	Verb Nominalization	Verb Nominalization_00	I think if you're a comedy fan you will be excited about see this movie and, even if you're not, the movie is a must - see.	I think if you're a comedy fan you will be excited about seeing this movie and, even if you're not, the movie is a must - see.	"Excited about" requires a noun phrase, so the word "see" should be nominalized.	Use the gerund form of "see."
batch_1_033	a_2	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_00	Apart from that, I imagine the world with everything automatic, planes that take me from New York to Dubai in three hours and robot instead of waiters in a restaurant.	Apart from that, I imagine the world with everything automatic, planes that take me from New York to Dubai in three hours and robots instead of waiters in a restaurant.	"Robot" is singular here, but you seem to be talking about more than one.	Use the plural form of the word "robot."
batch_1_034	a_1	Spelling	Spelling_00	I am communicating with you with the purpose of letting yo know that we are going to set up a meeting at my office with the purpose of discussing how we could use social media to improve the communication with our suppliers. I think a great time for the meeting would be next Monday at 4:00 p.m	I am communicating with you with the purpose of letting you know that we are going to set up a meeting at my office with the purpose of discussing how we could use social media to improve the communication with our suppliers. I think a great time for the meeting would be next Monday at 4:00 p.m	This word may be misspelled.	Did you mean "you?"
batch_1_035	a_2	Modal	Modal_00	So we can started from the beginning: first, was breakfast, which included some cereals with hot milk.	So we can start from the beginning: first, was breakfast, which included some cereals with hot milk.	Use the base form of the verb after a modal verb, regardless of tense.	Change "started" to the base form.
batch_1_036	a_2	Modal	Modal_00	Michael told me he knew about this contest and at that moment he wanted to call me to ask if I was able to came with him to that contest.	Michael told me he knew about this contest and at that moment he wanted to call me to ask if I was able to come with him to that contest.	Use the simple present form of the verb after modal verbs or phrases such as "be able to."	Change "came" to the simple present form.
batch_1_037	a_1	Infinitive	Infinitive_00	We tried to gave her help but she was so heavy and we could not do that. Then we tried to find help,	We tried to give her help but she was so heavy and we could not do that. Then we tried to find help,	"Try" needs a to-infinitive (to + base form of the verb) here, but "to gave" is the wrong form.	Change "gave" to the base form to fix this infinitive.
batch_1_038	a_2	Vocabulary Choice	Vocabulary Choice_00	The line which represents the indoor swimming pool remains fairly steady, from approximately 1800 to 2500, the period of every year from April to June and October to December own the highest outstanding achievement, whilst the sales are downwards overall.	The line which represents the indoor swimming pool remains fairly steady, from approximately 1800 to 2500, the period of every year from April to June and October to December has the highest outstanding achievement, whilst the sales are downwards overall.	"Owns" is for when a person has something like property. It does not seem natural here.	Use the word "has" instead of "own."
batch_1_039	a_2	Quantifier	None	I have done several school trips in the past [NONE] years and I'm going to do it again for sure.	I have done several school trips in the past few years and I'm going to do it again for sure.	The word "the" refers to a specific set of years, so a quantifier must be used to specify the set of years.	Include a quantifier such as "few" or "several."
batch_1_040	a_1	Quantifier	Quantifier_02	So I have had a lot [NONE] problems:	So I have had a lot of problems:	"A lot" is always followed by "of" when talking about the amount of something countable like "problems."	Change "a lot" to "a lot of."
batch_1_041	a_2	Tense: Tense Choice	Tense: Tense Choice_00	When he came she started crying and thought he would break up with her and she did not give him a chance to talk or explain anything. She started to cry louder and accused him of cheating. That made Michael astonished at how she did not trust in him, how she thought that about him, and he told her that he could not stand that anymore, he would break up with her, and he left. Michael close the door and knew at that moment he had made a mistake.	When he came she started crying and thought he would break up with her and she did not give him a chance to talk or explain anything. She started to cry louder and accused him of cheating. That made Michael astonished at how she did not trust in him, how she thought that about him, and he told her that he could not stand that anymore, he would break up with her, and he left. Michael closed the door and knew at that moment he had made a mistake.	Use the simple past tense to refer to actions that happened in the past.	Change "close" to its simple past form.
batch_1_042	a_1	Tense: Past Formation	Tense: Past Formation_01	Michael went into the teacher's office, but he found that his teacher wasn't there. Maybe the teacher had gone to the bathroom. Suddenly, the door is opened by a teacher, a teacher who was wearing a bikini came into sight. This incident came as quite a surprise to Michael. She flirted with Michael. Michael felt excited but ran out of the office, but he regretted his action. Michael closed the door and knew at that moment he had made a mistake.	Michael went into the teacher's office, but he found that his teacher wasn't there. Maybe the teacher had gone to the bathroom. Suddenly, the door was opened by a teacher, a teacher who was wearing a bikini came into sight. This incident came as quite a surprise to Michael. She flirted with Michael. Michael felt excited but ran out of the office, but he regretted his action. Michael closed the door and knew at that moment he had made a mistake.	To use a passive verb in the past tense, it is necessary to use the pattern "was"/"were" plus the past participle.	Change "is" to "was" to fix this past passive.
batch_1_044	a_2	Part-of-Speech Confusion	Part-of-Speech Confusion_01	Maybe, in 2060, we will be able to go to the moon very easy, like going to Europe.	Maybe, in 2060, we will be able to go to the moon very easily, like going to Europe.	Instead of an adjective, an adverb is needed to modify the action of "go to the moon."	Change the word "easy" to its adverb form, "easily."
batch_1_046	a_2	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_01	The person do not need to save large amounts of money to buy a car.	People do not need to save large amounts of money to buy a car.	"The person" is singular, but you are talking about a general case.	Remove the definite article "the" and change the word "person" to its plural form.
batch_1_047	a_1	Plural vs. Singular: Noun Countability	Plural vs. Singular: Noun Countability_02	Now our company is going to do multidimensional operations, not just focus on furniture, but also on home appliance.	Now our company is going to do multidimensional operations, not just focus on furniture, but also on home appliances.	"Appliance" is a countable noun and can not be used in the singular when speaking in general terms.	Change "appliance" to be plural.
batch_1_048	a_2	Modal	None	However, travelling by bus or tram never get away from our daily routine. Travelling by bus is not as convenient as getting in a car, but you can never know what might happen with your car, where it might get stuck in traffic or some other accident will happen.	However, travelling by bus or tram never get away from our daily routine. Travelling by bus is not as convenient as getting in a car, but you can never know what might happen with your car, where it might get stuck in traffic or some other accident might happen.	"Will" suggests that something is certain to happen, but this situation is just a possibility.	Use a modal like "might" or "may" to talk about possibilities.
batch_1_049	a_1	Part-of-Speech Confusion	Part-of-Speech Confusion_01	In important meetings like the UN General Assembly or G77, many leaders of power countries raise environmental problems as the most concerning problem in their internal policies.	In important meetings like the UN General Assembly or G77, many leaders of powerful countries raise environmental problems as the most concerning problem in their internal policies.	The word "power" is a noun, but we need an adjective to modify a noun like "countries."	Change "power" to an adjective like "powerful."
batch_1_050	a_2	Tense: Perfect	Tense: Perfect_00	Series can also help you to study. For me, it helped me a lot because I love series and some q I watch [NONE] helped me in school, such as Breaking Bad, which helped me in chemistry, and so many others.	Series can also help you to study. For me, it helped me a lot because I love series and some q I watch have helped me in school, such as Breaking Bad, which helped me in chemistry, and so many others.	When describing experiences or whether something ever happened, use the present perfect tense.	Change the verb form to have/has + past participle of the verb.
batch_1_051	a_1	Infinitive	None	I think that for people who want learning English Write and Improve is great!	I think that for people who want to learn English Write and Improve is great!	"Want" needs a to-infinitive (to + base form of the verb) here, but "learning" is the wrong form.	Change "learning" to a to-infinitive.
batch_1_052	a_2	Tense: Tense Choice	Tense: Tense Choice_00	Michael went into the teacher's office, but he found that his teacher wasn't there. Maybe the teacher had gone to the bathroom. Suddenly, the door was opened by a teacher, a teacher who was wearing a bikini came into sight. This incident came as quite a surprise to Michael. She flirted with Michael. Michael felt excited but run out of the office, but he regretted his action. Michael closed the door and knew at that moment he had made a mistake.	Michael went into the teacher's office, but he found that his teacher wasn't there. Maybe the teacher had gone to the bathroom. Suddenly, the door was opened by a teacher, a teacher who was wearing a bikini came into sight. This incident came as quite a surprise to Michael. She flirted with Michael. Michael felt excited but ran out of the office, but he regretted his action. Michael closed the door and knew at that moment he had made a mistake.	Use the simple past tense to talk about an event in the past.	Change "run" to its past tense form.
batch_1_053	a_1	Subject-Verb Agreement	Subject-Verb Agreement_01	clothes trends changes very quickly.	clothes trends change very quickly.	Your subject and verb do not agree in number. "Clothes trends" is plural, but "changes" is only used with a singular subject.	Change "changes" to a form that goes with a plural subject.
batch_1_054	a_2	Subject-Verb Agreement	Subject-Verb Agreement_01	My favourite kinds of movie are comedy and comedy drama because they has interesting plots and characters, someone and who watches comedy can laugh all the time.	My favourite kinds of movie are comedy and comedy drama because they have interesting plots and characters, someone and who watches comedy can laugh all the time.	The subject is plural, but "has" is only used with the singular.	Change "has" to a form that goes with a plural subject.
batch_1_056	a_1	Subject-Verb Agreement	Subject-Verb Agreement_01	Parents' words is key to restricting their kids' actions.	Parents' words are key to restricting their kids' actions.	"Words" is plural, but "is" is only used with a singular subject.	Change "is" to a form that goes with a plural subject.
batch_1_058	a_2	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_01	Public transport means travelling around the world and cities using trains, buses, taxi, airplanes etc.	Public transport means travelling around the world and cities using trains, buses, taxis, airplanes etc.	Use the plural form of the word when talking about the word in general.	Change the word "taxi" to its plural form.
batch_1_059	a_2	Verb Nominalization	Verb Nominalization_00	Try to motivate people for education, studying and school is a very hard thing if they all know all those dreams are not going to happen anyway, whereas people in Switzerland have to choose very early in which direction they want to go and what their possibilities look like.	Trying to motivate people for education, studying and school is a very hard thing if they all know all those dreams are not going to happen anyway, whereas people in Switzerland have to choose very early in which direction they want to go and what their possibilities look like.	The verb "try" is acting as the subject of the sentence and, therefore, needs to be changed to a noun form.	Change "try" to its gerund (-ing) form.
batch_1_062	a_1	Tense: Tense Choice	Tense: Tense Choice_00	Adam was twelve years old, a clever boy in his school, always got the top marks and participate in most activities, and known to all the teachers and students.	Adam was twelve years old, a clever boy in his school, always got the top marks and participated in most activities, and known to all the teachers and students.	It seems like this happened in the past, but "participate" is in the present tense here.	Change "participate" to the past tense.
batch_1_063	a_2	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_00	Nowadays, every child can get more and more resources from their parents because of less competition with other child.	Nowadays, every child can get more and more resources from their parents because of less competition with other children.	"Child" is singular here, but you seem to be talking about more than one.	Change "child" to its plural form.
batch_1_064	a_2	Part-of-Speech Confusion	Part-of-Speech Confusion_01	For example, during the semi - final first leg AFF Cup 2014 between Vietnam and Malaysia, the players played quite violent, and the supporters of the two teams were very tense.	For example, during the semi - final first leg AFF Cup 2014 between Vietnam and Malaysia, the players played quite violently, and the supporters of the two teams were very tense.	The word "violent" modifies the action of "played" and, therefore, should be in the adverb form.	Change "violent" to its adverb form by adding "-ly."
batch_1_066	a_2	Archaic or Formal Language	Archaic or Formal Language_00	Through this colorful school life, I undergo different types of experience and I have finally set my career goal to become an engineer or a computer technician.	Through this colorful school life, I have had different types of experience and I have finally set my career goal to become an engineer or a computer technician.	The verb "undergo" is overly formal for the situation.	Consider using another word or phrase, such as "have had."
batch_1_067	a_2	Definite vs. Indefinite Article	Definite vs. Indefinite Article_00	In conclusion, each problem must be solved concerning societal and environmental issues that impede a further progress of our civilization.	In conclusion, each problem must be solved concerning societal and environmental issues that impede the further progress of our civilization.	Use the definite article "the" with singular events or ideas like "further progress of our civilization."	Change "a" to "the" to refer to something specific.
batch_1_068	a_2	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_03	We depend on cars so much, as if they are our spare pair of foot.	We depend on cars so much, as if they are our spare pair of feet.	"Pair" means that there are two of something, so "foot" can not be singular here.	Change "foot" to its plural form.
batch_1_069	a_2	Possessive	Possessive_00	Micheal is a clever, shy guy who decided to look for new opportunities outside of his small town. After the tragedy of losing his father, he felt the need to move forward with his life and discover his real needs. No one in Micheal's school was able to understand this weird, isolated guy, so he never accepted having new friendships out of his class, that ends when the class ends. Then there was that girl. A beautiful popular blonde who was in the cheer leaders and every boy [NONE] dreams. One day, after a physics exam, she just stumbled into his bag and knocked his books out of it. 'Sorry', she said, with a sad sexy look!,	Micheal is a clever, shy guy who decided to look for new opportunities outside of his small town. After the tragedy of losing his father, he felt the need to move forward with his life and discover his real needs. No one in Micheal's school was able to understand this weird, isolated guy, so he never accepted having new friendships out of his class, that ends when the class ends. Then there was that girl. A beautiful popular blonde who was in the cheer leaders and every boy 's dreams. One day, after a physics exam, she just stumbled into his bag and knocked his books out of it. 'Sorry', she said, with a sad sexy look!,	When something belongs to something else, it is necessary to use a possessive.	Change "boy" to its possessive form.
batch_1_070	a_2	Verb + Preposition + Argument	Verb + Preposition + Argument_01	Have you ever thought [NONE] what you can do to help the environment?	Have you ever thought about what you can do to help the environment?	The word "think" takes the prepositions "of" or "about" to connect to an object.	Add either "of" or "about" between "thought" and "what."
batch_1_071	a_1	Casual or Informal Language	Casual or Informal Language_01	I think this thriller will get your nerves out of you. The movie reveals many things as it continues. It's actually so good and, for those that are scared of thrillers, this movie is more like suspense and I really think you can enjoy it.	I think this thriller will get your nerves out of you. The movie reveals many things as it continues. It's actually so good and, for those who are scared of thrillers, this movie is more like suspense and I really think you can enjoy it.	Using "that" as a relative pronoun for people may sound informal.	Consider changing "that" to "who."
